3125,1.1250
1.06125,1.1250,1.0625,-1.3125,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
359.3125,-1.1875,1.1250,359.3125,-1.1875,1.1250
0.0625,-1.1875,1.1250,0.0625,-1.1875,1.1250
357.4375,0.1250,3.5000,357.4375,0.1250,3.5000
354.5000,0.8750,10.0000,354.5000,0.8750,10.0000
355.6875,-0.3750,21.0000,355.6875,-0.3750,21.0000
356.7500,1.3125,29.8750,356.7500,1.3125,29.8750
355.8750,1.3125,38.3750,355.8750,1.3125,38.3750
356.1250,1.9375,43.8750,356.1250,1.9375,43.8750
355.3750,0.2500,47.8125,355.3750,0.2500,47.8125
354.4375,-1.1250,51.1250,354.4375,-1.1250,51.1250
353.6875,-2.5000,51.8750,353.6875,-2.5000,51.8750
353.5000,-2.6875,50.8125,353.5000,-2.6875,50.8125
353.5625,-2.5000,48.8750,353.5625,-2.5000,48.8750
353.5000,-2.5625,48.9375,353.5000,-2.5625,48.9375
353.0000,-2.8750,49.5000,353.0000,-2.8750,49.5000
352.7500,-3.1875,50.0625,352.7500,-3.1875,50.0625
352.6875,-3.1875,50.0000,352.6875,-3.1875,50.0000
352.5625,-3.2500,50.0000,352.5625,-3.2500,50.0000
352.5625,-3.1875,50.0625,352.5625,-3.1875,50.0625
352.5000,-3.3125,50.1250,352.5000,-3.3125,50.1250
352.3750,-3.3125,50.1875,352.3750,-3.3125,50.1875
352.4375,-3.2500,50.2500,352.4375,-3.2500,50.2500
352.4375,-3.2500,50.3125,352.4375,-3.2500,50.3125
352.4375,-3.2500,50.3125,352.4375,-3.2500,50.3125
352.3750,-3.3125,50.2500,352.3750,-3.3125,50.2500
352.3750,-3.2500,50.1250,352.3750,-3.2500,50.1250
352.3750,-3.2500,50.1250,352.3750,-3.2500,50.1250
352.3750,-3.2500,50.1875,352.3750,-3.2500,50.1875
352.3125,-3.2500,50.1250,352.3125,-3.2500,50.1250
352.3125,-3.2500,50.0625,352.3125,-3.2500,50.0625
352.3125,-3.2500,50.0000,352.3125,-3.2500,50.0000
352.1875,-3.3125,50.0625,352.1875,-3.3125,50.0625
352.0625,-3.4375,50.3125,352.0625,-3.4375,50.3125
351.9375,-3.5625,50.6250,351.9375,-3.5625,50.6250
351.8750,-3.6250,51.2500,351.8750,-3.6250,51.2500
351.6875,-3.7500,52.1250,351.6875,-3.7500,52.1250
351.5000,-3.8750,52.6875,351.5000,-3.8750,52.6875
351.4375,-3.9375,52.5625,351.4375,-3.9375,52.5625
351.4375,-3.8125,53.4375,351.4375,-3.8125,53.4375
351.3750,-3.7500,54.2500,351.3750,-3.7500,54.2500
351.3750,-3.7500,54.4375,351.3750,-3.7500,54.4375
351.3750,-3.7500,54.6875,351.3750,-3.7500,54.6875
351.3750,-3.7500,54.6875,351.3750,-3.7500,54.6875
351.5000,-3.7500,54.6875,351.5000,-3.7500,54.6875
351.5625,-3.6875,54.6875,351.5625,-3.6875,54.6875
351.4375,-3.7500,55.0000,351.4375,-3.7500,55.0000
351.3750,-3.6875,55.8750,351.3750,-3.6875,55.8750
351.3750,-3.6875,56.6875,351.3750,-3.6875,56.6875
